work_year,experience_level,job_title,employee_residence,company_location,salary_in_usd
2023,3,84,26,25,85847
2023,2,66,75,70,30000
2023,2,66,75,70,25500
2023,3,47,11,12,175000
2023,3,47,11,12,120000
2023,3,8,75,70,222200
2023,3,8,75,70,136000
2023,3,47,11,12,219000
2023,3,47,11,12,141000
2023,3,47,75,70,147100
2023,3,47,75,70,90700
2023,3,25,75,70,130000
2023,3,25,75,70,100000
2023,0,8,75,70,213660
2023,0,8,75,70,130760
2023,3,38,75,70,147100
2023,3,38,75,70,90700
2023,3,47,75,70,170000
2023,3,47,75,70,150000
2023,2,25,75,70,150000
2023,2,25,75,70,110000
2023,3,88,20,20,275000
2023,3,88,20,20,174000
2023,3,4,29,28,230000
2023,3,4,29,28,143200
2023,3,18,75,70,225000
2023,3,18,75,70,156400
2023,3,69,75,70,200000
2023,3,69,75,70,130000
2023,3,50,11,12,90000
2023,3,50,11,12,72000
2023,3,33,75,70,253200
2023,3,33,75,70,90700
2023,3,23,75,70,342810
2023,3,23,75,70,184590
2023,2,33,75,70,162500
2023,2,33,75,70,130000
2023,2,25,75,70,105380
2023,2,25,75,70,64500
2023,0,41,56,53,100000
2023,0,22,56,53,30000
2022,2,69,39,38,20984
2023,0,8,75,70,204620
2023,0,8,75,70,110680
2023,3,33,75,70,270703
2023,3,33,75,70,221484
2023,3,47,75,70,212750
2023,3,47,75,70,185000
2023,3,47,75,70,262000
2023,3,47,75,70,245000
2023,3,47,75,70,275300
2023,3,47,75,70,183500
2023,3,47,75,70,218500
2023,3,47,75,70,199098
2023,3,33,75,70,203300
2023,3,33,75,70,123600
2023,3,88,75,70,189110
2023,3,88,75,70,139000
2023,1,47,75,70,258750
2023,1,47,75,70,185000
2023,3,33,75,70,231500
2023,3,33,75,70,166000
2023,3,47,75,70,172500
2023,3,47,75,70,110500
2023,3,33,75,70,238000
2023,3,33,75,70,176000
2023,3,33,75,70,237000
2023,3,33,75,70,201450
2023,3,8,75,70,309400
2023,3,8,75,70,159100
2023,3,33,75,70,115000
2023,3,33,75,70,81500
2023,3,47,75,70,237000
2023,3,47,75,70,201450
2023,3,23,75,70,280000
2023,3,23,75,70,210000
2023,3,31,75,70,280100
2023,3,31,75,70,168100
2023,3,33,75,70,193500
2023,3,33,75,70,139000
2023,2,47,32,31,65062
2023,3,69,63,70,150000
2023,2,6,39,20,69751
2022,0,1,39,38,300000
2023,2,69,57,54,96578
2023,3,18,75,70,185900
2023,3,18,75,70,129300
2023,3,33,75,70,225000
2023,3,33,75,70,175000
2023,3,33,75,70,185000
2023,3,33,75,70,140000
2023,3,47,26,25,48289
2023,3,47,26,25,38631
2023,3,47,75,70,105000
2023,3,47,75,70,70000
2023,0,69,75,70,163196
2023,0,69,75,70,145885
2023,3,33,75,70,217000
2023,3,33,75,70,185000
2023,3,25,75,70,202800
2023,3,25,75,70,104300
2023,3,25,75,70,145000
2023,3,25,75,70,65000
2023,3,33,75,70,165000
2023,3,33,75,70,132300
2023,3,33,75,70,179170
2023,3,33,75,70,94300
2023,3,4,75,70,152500
2023,3,4,75,70,116450
2023,3,33,75,70,247300
2023,3,33,75,70,133800
2023,3,88,75,70,203000
2023,3,88,75,70,133000
2023,0,89,75,70,220000
2022,0,69,13,14,56536
2023,3,47,75,70,120000
2023,3,4,75,70,289800
2023,3,4,75,70,214000
2023,3,4,75,70,179820
2023,3,4,75,70,143860
2023,3,69,75,70,283200
2023,3,69,75,70,188800
2023,3,4,75,70,214200
2023,3,33,75,70,185900
2023,3,33,75,70,129300
2023,3,33,75,70,252000
2023,3,33,75,70,129000
2023,2,29,75,70,155000
2023,2,29,75,70,140000
2023,3,33,75,70,161800
2023,3,33,75,70,141600
2023,3,69,75,70,342300
2023,3,69,75,70,176100
2023,2,33,75,70,100000
2023,2,33,75,70,70000
2023,0,33,75,70,85000
2023,0,33,75,70,65000
2023,3,47,75,70,138784
2023,3,47,75,70,83270
2023,0,25,75,70,75000
2023,0,25,75,70,70000
2023,3,25,75,70,204500
2023,3,25,75,70,138900
2023,3,69,75,70,318300
2023,3,69,75,70,212200
2023,3,33,75,70,95000
2023,3,33,75,70,75000
2023,3,47,75,70,195000
2023,3,47,75,70,160000
2023,3,4,75,70,230000
2023,3,4,75,70,143200
2023,2,17,75,70,105000
2023,2,5,39,38,20670
2023,2,25,29,28,46178
2023,2,25,29,28,42533
2023,3,33,75,70,145000
2023,3,25,75,70,168400
2023,3,25,75,70,105200
2023,3,69,75,70,190000
2023,3,69,75,70,150000
2023,3,4,75,70,150000
2023,3,4,75,70,120000
2023,3,33,75,70,120000
2023,3,25,12,13,54685
2023,3,25,12,13,42533
2023,3,33,75,70,241000
2023,3,33,75,70,155000
2023,3,33,75,70,220000
2023,3,33,75,70,190000
2023,2,47,29,28,66837
2023,2,47,29,28,54685
2020,1,91,56,12,15000
2023,2,55,29,28,85066
2023,2,55,29,28,57723
2023,0,25,75,70,85000
2023,0,25,75,70,75000
2023,3,33,75,70,160000
2023,2,69,75,70,300000
2023,2,69,75,70,250000
2023,3,47,75,70,228000
2023,3,47,75,70,186000
2023,3,47,75,70,190000
2023,2,88,75,70,230000
2023,2,88,75,70,200000
2023,3,31,75,70,180000
2023,3,31,75,70,115000
2023,3,31,75,70,200000
2023,3,32,28,27,53654
2023,1,33,75,70,220000
2023,1,33,75,70,205000
2023,2,33,75,70,180000
2023,3,33,75,70,200000
2023,3,33,75,70,150000
2023,3,23,75,70,215000
2023,3,23,75,70,170000
2023,3,69,75,70,247500
2023,3,69,75,70,172200
2023,3,47,11,12,224000
2023,3,47,11,12,176000
2023,3,25,75,70,120000
2023,3,25,75,70,75000
2023,0,33,39,38,17022
2023,3,5,5,26,68318
2023,2,1,27,26,75020
2023,3,25,75,70,140000
2023,3,25,75,70,120000
2023,3,33,75,70,128000
2023,1,58,75,70,329500
2023,1,58,75,70,269600
2023,3,41,75,70,100000
2023,3,41,75,70,80000
2023,3,47,75,70,250000
2023,3,47,75,70,162500
2023,2,1,75,70,200000
2023,3,33,75,70,100000
2023,1,33,75,70,145000
2023,1,33,75,70,115000
2023,3,47,75,70,203500
2023,3,47,75,70,152000
2023,3,47,75,70,239000
2023,3,47,75,70,122900
2023,3,47,75,70,237000
2023,3,47,75,70,145000
2023,3,45,75,70,191765
2023,3,45,75,70,134236
2023,3,4,75,70,190000
2023,3,4,75,70,112000
2022,3,47,26,28,88256
2023,3,25,75,70,135000
2023,3,25,75,70,105500
2023,3,88,75,70,293000
2023,3,88,75,70,185000
2023,3,25,75,70,80000
2023,3,25,75,70,70000
2023,3,33,75,70,160000
2023,3,47,75,70,175000
2023,3,47,75,70,145000
2023,3,25,75,70,200000
2023,3,25,75,70,148500
2023,3,33,75,70,240500
2023,3,33,75,70,123700
2023,3,4,75,70,152900
2023,3,4,75,70,117100
2023,3,4,75,70,173000
2023,3,4,75,70,113000
2023,3,8,75,70,260000
2023,1,33,75,70,175000
2023,1,33,75,70,110000
2023,3,89,75,70,130000
2023,3,89,75,70,110000
2023,3,8,75,70,205000
2023,3,8,75,70,184000
2023,3,25,75,70,149500
2023,3,25,75,70,127075
2023,3,33,75,70,219535
2023,3,33,75,70,146115
2023,3,47,75,70,135000
2023,3,47,75,70,199000
2023,3,47,75,70,162000
2023,1,4,75,70,221000
2023,1,4,75,70,153000
2023,3,25,75,70,187000
2023,3,25,75,70,128000
2023,3,89,75,70,210000
2023,3,89,75,70,136000
2023,3,47,75,70,100000
2023,3,33,75,70,179000
2023,3,33,75,70,109000
2023,3,47,75,70,245000
2023,3,47,75,70,180000
2023,3,25,75,70,142000
2023,3,37,75,70,198800
2023,3,37,75,70,105200
2023,3,25,75,70,125000
2023,3,25,75,70,112000
2023,3,47,75,70,210000
2023,3,47,75,70,155000
2023,3,37,75,70,115000
2023,3,37,75,70,86000
2023,3,47,75,70,165000
